Compound_id,Atc_id,relation_type,database
DB00063,B,x-atc,DRUGBANK
DB00065,L04AB,x-atc,DRUGBANK
DB00065,L04A,x-atc,DRUGBANK
DB00065,L04,x-atc,DRUGBANK
DB00065,L,x-atc,DRUGBANK
DB00066,G03GA,x-atc,DRUGBANK
DB00066,G03G,x-atc,DRUGBANK
DB00066,G03,x-atc,DRUGBANK
DB00066,G,x-atc,DRUGBANK
DB00068,L03AB,x-atc,DRUGBANK
DB00068,L03A,x-atc,DRUGBANK
DB00068,L03,x-atc,DRUGBANK
DB00068,L,x-atc,DRUGBANK
DB00069,L03AB,x-atc,DRUGBANK
DB00069,L03A,x-atc,DRUGBANK
DB00069,L03,x-atc,DRUGBANK
DB00069,L,x-atc,DRUGBANK
DB00071,A10AC,x-atc,DRUGBANK
DB00071,A10A,x-atc,DRUGBANK
DB00071,A10,x-atc,DRUGBANK
DB00071,A,x-atc,DRUGBANK
DB00072,L01XC,x-atc,DRUGBANK
DB00072,L01X,x-atc,DRUGBANK
DB00072,L01,x-atc,DRUGBANK
DB00072,L,x-atc,DRUGBANK
DB00073,L01XC,x-atc,DRUGBANK
DB00073,L01X,x-atc,DRUGBANK
DB00073,L01,x-atc,DRUGBANK
DB00073,L,x-atc,DRUGBANK
DB00074,L04AC,x-atc,DRUGBANK
DB00074,L04A,x-atc,DRUGBANK
DB00074,L04,x-atc,DRUGBANK
DB00074,L,x-atc,DRUGBANK
DB00075,L04AA,x-atc,DRUGBANK
DB00075,L04A,x-atc,DRUGBANK
DB00075,L04,x-atc,DRUGBANK
DB00075,L,x-atc,DRUGBANK
DB00076,V03AB,x-atc,DRUGBANK
DB00076,V03A,x-atc,DRUGBANK
DB00076,V03,x-atc,DRUGBANK
DB00076,V,x-atc,DRUGBANK
DB00078,V10XX,x-atc,DRUGBANK
DB00078,V10X,x-atc,DRUGBANK
DB00078,V10,x-atc,DRUGBANK
DB00078,V,x-atc,DRUGBANK
DB00080,J01XX,x-atc,DRUGBANK
DB00080,J01X,x-atc,DRUGBANK
DB00080,J01,x-atc,DRUGBANK
DB00080,J,x-atc,DRUGBANK
DB00081,V10XA,x-atc,DRUGBANK
DB00081,V10X,x-atc,DRUGBANK
DB00081,V10,x-atc,DRUGBANK
DB00081,V,x-atc,DRUGBANK
DB00082,H01AX,x-atc,DRUGBANK
DB00082,H01A,x-atc,DRUGBANK
DB00082,H01,x-atc,DRUGBANK
DB00082,H,x-atc,DRUGBANK
DB00083,M03AX,x-atc,DRUGBANK
DB00083,M03A,x-atc,DRUGBANK
DB00083,M03,x-atc,DRUGBANK
DB00083,M,x-atc,DRUGBANK
DB00085,A09AA,x-atc,DRUGBANK
DB00085,A09A,x-atc,DRUGBANK
DB00085,A09,x-atc,DRUGBANK
DB00085,A,x-atc,DRUGBANK
DB00086,B01AD,x-atc,DRUGBANK
DB00086,B01A,x-atc,DRUGBANK
DB00086,B01,x-atc,DRUGBANK
DB00086,B,x-atc,DRUGBANK
DB00087,L04AA,x-atc,DRUGBANK
DB00087,L04A,x-atc,DRUGBANK
DB00087,L04,x-atc,DRUGBANK
DB00087,L,x-atc,DRUGBANK
DB00088,A16AB,x-atc,DRUGBANK
DB00088,A16A,x-atc,DRUGBANK
DB00088,A16,x-atc,DRUGBANK
DB00088,A,x-atc,DRUGBANK
DB00089,V09IB,x-atc,DRUGBANK
DB00089,V09I,x-atc,DRUGBANK
DB00089,V09,x-atc,DRUGBANK
DB00089,V,x-atc,DRUGBANK
DB00090,A16AB,x-atc,DRUGBANK
DB00090,A16A,x-atc,DRUGBANK
DB00090,A16,x-atc,DRUGBANK
DB00090,A,x-atc,DRUGBANK
DB00091,L04AD,x-atc,DRUGBANK
DB00091,L04A,x-atc,DRUGBANK
DB00091,L04,x-atc,DRUGBANK
DB00091,L,x-atc,DRUGBANK
DB00092,L04AA,x-atc,DRUGBANK
DB00092,L04A,x-atc,DRUGBANK
DB00092,L04,x-atc,DRUGBANK
DB00092,L,x-atc,DRUGBANK
DB00094,G03GA,x-atc,DRUGBANK
DB00094,G03G,x-atc,DRUGBANK
DB00094,G03,x-atc,DRUGBANK
DB00094,G,x-atc,DRUGBANK
DB00095,L04AA,x-atc,DRUGBANK
DB00095,L04A,x-atc,DRUGBANK
DB00095,L04,x-atc,DRUGBANK
DB00095,L,x-atc,DRUGBANK
DB00097,G03GA,x-atc,DRUGBANK
DB00097,G03G,x-atc,DRUGBANK
DB00097,G03,x-atc,DRUGBANK
DB00097,G,x-atc,DRUGBANK
DB00098,L04AA,x-atc,DRUGBANK
DB00098,L04A,x-atc,DRUGBANK
DB00098,L04,x-atc,DRUGBANK
DB00098,L,x-atc,DRUGBANK
DB00099,L03AA,x-atc,DRUGBANK
DB00099,L03A,x-atc,DRUGBANK
DB00099,L03,x-atc,DRUGBANK
DB00099,L,x-atc,DRUGBANK
DB00102,D03AX,x-atc,DRUGBANK
DB00102,D03A,x-atc,DRUGBANK
DB00102,D03,x-atc,DRUGBANK
DB00102,D,x-atc,DRUGBANK
DB00103,A16AB,x-atc,DRUGBANK
DB00103,A16A,x-atc,DRUGBANK
DB00103,A16,x-atc,DRUGBANK
DB00103,A,x-atc,DRUGBANK
DB00104,H01CB,x-atc,DRUGBANK
DB00104,H01C,x-atc,DRUGBANK
DB00104,H01,x-atc,DRUGBANK
DB00104,H,x-atc,DRUGBANK
DB00105,L03AB,x-atc,DRUGBANK
DB00105,L03A,x-atc,DRUGBANK
DB00105,L03,x-atc,DRUGBANK
DB00105,L,x-atc,DRUGBANK
DB00106,L02BX,x-atc,DRUGBANK
DB00106,L02B,x-atc,DRUGBANK
DB00106,L02,x-atc,DRUGBANK
DB00106,L,x-atc,DRUGBANK
DB00107,G02AC,x-atc,DRUGBANK
DB00107,G02A,x-atc,DRUGBANK
DB00107,G02,x-atc,DRUGBANK
DB00107,G,x-atc,DRUGBANK
DB00108,L04AA,x-atc,DRUGBANK
DB00108,L04A,x-atc,DRUGBANK
DB00108,L04,x-atc,DRUGBANK
DB00108,L,x-atc,DRUGBANK
DB00109,J05AX,x-atc,DRUGBANK
DB00109,J05A,x-atc,DRUGBANK
DB00109,J05,x-atc,DRUGBANK
DB00109,J,x-atc,DRUGBANK
DB00110,J06BB,x-atc,DRUGBANK
DB00110,J06B,x-atc,DRUGBANK
DB00110,J06,x-atc,DRUGBANK
DB00110,J,x-atc,DRUGBANK
DB00111,L04AC,x-atc,DRUGBANK
DB00111,L04A,x-atc,DRUGBANK
DB00111,L04,x-atc,DRUGBANK
DB00111,L,x-atc,DRUGBANK
DB00112,L01XC,x-atc,DRUGBANK
DB00112,L01X,x-atc,DRUGBANK
DB00112,L01,x-atc,DRUGBANK
DB00112,L,x-atc,DRUGBANK
DB00113,V09IA,x-atc,DRUGBANK
DB00113,V09I,x-atc,DRUGBANK
DB00113,V09,x-atc,DRUGBANK
DB00113,V,x-atc,DRUGBANK
DB00114,A11HA,x-atc,DRUGBANK
DB00114,A11H,x-atc,DRUGBANK
DB00114,A11,x-atc,DRUGBANK
DB00114,A,x-atc,DRUGBANK
DB00115,B03BA,x-atc,DRUGBANK
DB00115,B03B,x-atc,DRUGBANK
DB00115,B03,x-atc,DRUGBANK
DB00115,B,x-atc,DRUGBANK
DB00118,A16AA,x-atc,DRUGBANK
DB00118,A16A,x-atc,DRUGBANK
DB00118,A16,x-atc,DRUGBANK
DB00118,A,x-atc,DRUGBANK
DB00121,A11HA,x-atc,DRUGBANK
DB00121,A11H,x-atc,DRUGBANK
DB00121,A11,x-atc,DRUGBANK
DB00121,A,x-atc,DRUGBANK
DB00123,B05XB,x-atc,DRUGBANK
DB00123,B05X,x-atc,DRUGBANK
DB00123,B05,x-atc,DRUGBANK
DB00123,B,x-atc,DRUGBANK
DB00125,B05XB,x-atc,DRUGBANK
DB00125,B05X,x-atc,DRUGBANK
DB00125,B05,x-atc,DRUGBANK
DB00125,B,x-atc,DRUGBANK
DB00126,G01AD,x-atc,DRUGBANK
DB00126,G01A,x-atc,DRUGBANK
DB00126,G01,x-atc,DRUGBANK
DB00126,G,x-atc,DRUGBANK
DB00129,A05BA,x-atc,DRUGBANK
DB00129,A05B,x-atc,DRUGBANK
DB00129,A05,x-atc,DRUGBANK
DB00129,A,x-atc,DRUGBANK
DB00130,A16AA,x-atc,DRUGBANK
DB00130,A16A,x-atc,DRUGBANK
DB00130,A16,x-atc,DRUGBANK
DB00130,A,x-atc,DRUGBANK
DB00134,V03AB,x-atc,DRUGBANK
DB00134,V03A,x-atc,DRUGBANK
DB00134,V03,x-atc,DRUGBANK
DB00134,V,x-atc,DRUGBANK
DB00136,D05AX,x-atc,DRUGBANK
DB00136,D05A,x-atc,DRUGBANK
DB00136,D05,x-atc,DRUGBANK
DB00136,D,x-atc,DRUGBANK
DB00140,A11HA,x-atc,DRUGBANK
DB00140,A11H,x-atc,DRUGBANK
DB00140,A11,x-atc,DRUGBANK
DB00140,A,x-atc,DRUGBANK
DB00142,A09AB,x-atc,DRUGBANK
DB00142,A09A,x-atc,DRUGBANK
DB00142,A09,x-atc,DRUGBANK
DB00142,A,x-atc,DRUGBANK
DB00143,V03AB,x-atc,DRUGBANK
DB00143,V03A,x-atc,DRUGBANK
DB00143,V03,x-atc,DRUGBANK
DB00143,V,x-atc,DRUGBANK
DB00145,B05CX,x-atc,DRUGBANK
DB00145,B05C,x-atc,DRUGBANK
DB00145,B05,x-atc,DRUGBANK
DB00145,B,x-atc,DRUGBANK
DB00146,A11CC,x-atc,DRUGBANK
DB00146,A11C,x-atc,DRUGBANK
DB00146,A11,x-atc,DRUGBANK
DB00146,A,x-atc,DRUGBANK
DB00150,N06AX,x-atc,DRUGBANK
DB00150,N06A,x-atc,DRUGBANK
DB00150,N06,x-atc,DRUGBANK
DB00150,N,x-atc,DRUGBANK
DB00152,A11DA,x-atc,DRUGBANK
DB00152,A11D,x-atc,DRUGBANK
DB00152,A11,x-atc,DRUGBANK
DB00152,A,x-atc,DRUGBANK
DB00153,A11CC,x-atc,DRUGBANK
DB00153,A11C,x-atc,DRUGBANK
DB00153,A11,x-atc,DRUGBANK
DB00153,A,x-atc,DRUGBANK
DB00158,B03AE,x-atc,DRUGBANK
DB00158,B03A,x-atc,DRUGBANK
DB00158,B03,x-atc,DRUGBANK
DB00158,B,x-atc,DRUGBANK
DB00162,V04CB,x-atc,DRUGBANK
DB00162,V04C,x-atc,DRUGBANK
DB00162,V04,x-atc,DRUGBANK
DB00162,V,x-atc,DRUGBANK
DB00165,J04AM,x-atc,DRUGBANK
DB00165,J04A,x-atc,DRUGBANK
DB00165,J04,x-atc,DRUGBANK
DB00165,J,x-atc,DRUGBANK
DB00166,A16AX,x-atc,DRUGBANK
DB00166,A16A,x-atc,DRUGBANK
DB00166,A16,x-atc,DRUGBANK
DB00166,A,x-atc,DRUGBANK
DB00169,M05BB,x-atc,DRUGBANK
DB00169,M05B,x-atc,DRUGBANK
DB00169,M05,x-atc,DRUGBANK
DB00169,M,x-atc,DRUGBANK
DB00170,B02BA,x-atc,DRUGBANK
DB00170,B02B,x-atc,DRUGBANK
DB00170,B02,x-atc,DRUGBANK
DB00170,B,x-atc,DRUGBANK
DB00175,C10AA,x-atc,DRUGBANK
DB00175,C10A,x-atc,DRUGBANK
DB00175,C10,x-atc,DRUGBANK
DB00175,C,x-atc,DRUGBANK
DB00176,N06AB,x-atc,DRUGBANK
DB00176,N06A,x-atc,DRUGBANK
DB00176,N06,x-atc,DRUGBANK
DB00176,N,x-atc,DRUGBANK
DB00177,C09DX,x-atc,DRUGBANK
DB00177,C09D,x-atc,DRUGBANK
DB00177,C09,x-atc,DRUGBANK
DB00177,C,x-atc,DRUGBANK
DB00178,C09BX,x-atc,DRUGBANK
DB00178,C09B,x-atc,DRUGBANK
DB00178,C09,x-atc,DRUGBANK
DB00178,C,x-atc,DRUGBANK
DB00179,L01XX,x-atc,DRUGBANK
DB00179,L01X,x-atc,DRUGBANK
DB00179,L01,x-atc,DRUGBANK
DB00179,L,x-atc,DRUGBANK
DB00180,R01AD,x-atc,DRUGBANK
DB00180,R01A,x-atc,DRUGBANK
DB00180,R01,x-atc,DRUGBANK
DB00180,R,x-atc,DRUGBANK
DB00181,M03BX,x-atc,DRUGBANK
DB00181,M03B,x-atc,DRUGBANK
DB00181,M03,x-atc,DRUGBANK
DB00181,M,x-atc,DRUGBANK
DB00182,N06BA,x-atc,DRUGBANK
DB00182,N06B,x-atc,DRUGBANK
DB00182,N06,x-atc,DRUGBANK
DB00182,N,x-atc,DRUGBANK
DB00183,V04CG,x-atc,DRUGBANK
DB00183,V04C,x-atc,DRUGBANK
DB00183,V04,x-atc,DRUGBANK
DB00183,V,x-atc,DRUGBANK
DB00184,N07BA,x-atc,DRUGBANK
DB00184,N07B,x-atc,DRUGBANK
DB00184,N07,x-atc,DRUGBANK
DB00184,N,x-atc,DRUGBANK
DB00185,N07AX,x-atc,DRUGBANK
DB00185,N07A,x-atc,DRUGBANK
DB00185,N07,x-atc,DRUGBANK
DB00185,N,x-atc,DRUGBANK
DB00186,N05BA,x-atc,DRUGBANK
DB00186,N05B,x-atc,DRUGBANK
DB00186,N05,x-atc,DRUGBANK
DB00186,N,x-atc,DRUGBANK
DB00187,C07AB,x-atc,DRUGBANK
DB00187,C07A,x-atc,DRUGBANK
DB00187,C07,x-atc,DRUGBANK
DB00187,C,x-atc,DRUGBANK
DB00188,L01XX,x-atc,DRUGBANK
DB00188,L01X,x-atc,DRUGBANK
DB00188,L01,x-atc,DRUGBANK
DB00188,L,x-atc,DRUGBANK
DB00189,N05CM,x-atc,DRUGBANK
DB00189,N05C,x-atc,DRUGBANK
DB00189,N05,x-atc,DRUGBANK
DB00189,N,x-atc,DRUGBANK
DB00191,A08AA,x-atc,DRUGBANK
DB00191,A08A,x-atc,DRUGBANK
DB00191,A08,x-atc,DRUGBANK
DB00191,A,x-atc,DRUGBANK
DB00193,N02AJ,x-atc,DRUGBANK
DB00193,N02A,x-atc,DRUGBANK
DB00193,N02,x-atc,DRUGBANK
DB00193,N,x-atc,DRUGBANK
DB00194,J05AB,x-atc,DRUGBANK
DB00194,J05A,x-atc,DRUGBANK
DB00194,J05,x-atc,DRUGBANK
DB00194,J,x-atc,DRUGBANK
DB00195,S01ED,x-atc,DRUGBANK
DB00195,S01E,x-atc,DRUGBANK
DB00195,S01,x-atc,DRUGBANK
DB00195,S,x-atc,DRUGBANK
DB00196,J01RA,x-atc,DRUGBANK
DB00196,J01R,x-atc,DRUGBANK
DB00196,J01,x-atc,DRUGBANK
DB00196,J,x-atc,DRUGBANK
DB00197,A10BG,x-atc,DRUGBANK
DB00197,A10B,x-atc,DRUGBANK
DB00197,A10,x-atc,DRUGBANK
DB00197,A,x-atc,DRUGBANK
DB00198,J05AH,x-atc,DRUGBANK
DB00198,J05A,x-atc,DRUGBANK
DB00198,J05,x-atc,DRUGBANK
DB00198,J,x-atc,DRUGBANK
DB00199,J01FA,x-atc,DRUGBANK
DB00199,J01F,x-atc,DRUGBANK
DB00199,J01,x-atc,DRUGBANK
DB00199,J,x-atc,DRUGBANK
DB00200,B03BA,x-atc,DRUGBANK
DB00200,B03B,x-atc,DRUGBANK
DB00200,B03,x-atc,DRUGBANK
DB00200,B,x-atc,DRUGBANK
DB00201,R03DA,x-atc,DRUGBANK
DB00201,R03D,x-atc,DRUGBANK
DB00201,R03,x-atc,DRUGBANK
DB00201,R,x-atc,DRUGBANK
DB00202,M03AB,x-atc,DRUGBANK
DB00202,M03A,x-atc,DRUGBANK
DB00202,M03,x-atc,DRUGBANK
DB00202,M,x-atc,DRUGBANK
DB00203,G01AE,x-atc,DRUGBANK
DB00203,G01A,x-atc,DRUGBANK
DB00203,G01,x-atc,DRUGBANK
DB00203,G,x-atc,DRUGBANK
DB00204,C01BD,x-atc,DRUGBANK
DB00204,C01B,x-atc,DRUGBANK
DB00204,C01,x-atc,DRUGBANK
DB00204,C,x-atc,DRUGBANK
DB00205,P01BD,x-atc,DRUGBANK
DB00205,P01B,x-atc,DRUGBANK
DB00205,P01,x-atc,DRUGBANK
DB00205,P,x-atc,DRUGBANK
DB00206,C02LA,x-atc,DRUGBANK
DB00206,C02L,x-atc,DRUGBANK
DB00206,C02,x-atc,DRUGBANK
DB00206,C,x-atc,DRUGBANK
DB00207,J01RA,x-atc,DRUGBANK
DB00207,J01R,x-atc,DRUGBANK
DB00207,J01,x-atc,DRUGBANK
DB00207,J,x-atc,DRUGBANK
DB00208,B01AC,x-atc,DRUGBANK
DB00208,B01A,x-atc,DRUGBANK
DB00208,B01,x-atc,DRUGBANK
DB00208,B,x-atc,DRUGBANK
DB00209,A03DA,x-atc,DRUGBANK
DB00209,A03D,x-atc,DRUGBANK
DB00209,A03,x-atc,DRUGBANK
DB00209,A,x-atc,DRUGBANK
DB00210,D10AD,x-atc,DRUGBANK
DB00210,D10A,x-atc,DRUGBANK
DB00210,D10,x-atc,DRUGBANK
DB00210,D,x-atc,DRUGBANK
DB00211,C01CA,x-atc,DRUGBANK
DB00211,C01C,x-atc,DRUGBANK
DB00211,C01,x-atc,DRUGBANK
DB00211,C,x-atc,DRUGBANK
DB00212,C09XA,x-atc,DRUGBANK
DB00212,C09X,x-atc,DRUGBANK
DB00212,C09,x-atc,DRUGBANK
DB00212,C,x-atc,DRUGBANK
DB00213,A02BD,x-atc,DRUGBANK
DB00213,A02B,x-atc,DRUGBANK
DB00213,A02,x-atc,DRUGBANK
DB00213,A,x-atc,DRUGBANK
DB00214,C03CA,x-atc,DRUGBANK
DB00214,C03C,x-atc,DRUGBANK
DB00214,C03,x-atc,DRUGBANK
DB00214,C,x-atc,DRUGBANK
DB00215,N06AB,x-atc,DRUGBANK
DB00215,N06A,x-atc,DRUGBANK
DB00215,N06,x-atc,DRUGBANK
DB00215,N,x-atc,DRUGBANK
DB00216,N02CC,x-atc,DRUGBANK
DB00216,N02C,x-atc,DRUGBANK
DB00216,N02,x-atc,DRUGBANK
DB00216,N,x-atc,DRUGBANK
DB00217,C02CC,x-atc,DRUGBANK
DB00217,C02C,x-atc,DRUGBANK
DB00217,C02,x-atc,DRUGBANK
DB00217,C,x-atc,DRUGBANK
DB00218,S01AE,x-atc,DRUGBANK
DB00218,S01A,x-atc,DRUGBANK
DB00218,S01,x-atc,DRUGBANK
DB00218,S,x-atc,DRUGBANK
DB00219,A03AB,x-atc,DRUGBANK
DB00219,A03A,x-atc,DRUGBANK
DB00219,A03,x-atc,DRUGBANK
DB00219,A,x-atc,DRUGBANK
DB00220,J05AE,x-atc,DRUGBANK
DB00220,J05A,x-atc,DRUGBANK
DB00220,J05,x-atc,DRUGBANK
DB00220,J,x-atc,DRUGBANK
DB00222,A10BD,x-atc,DRUGBANK
DB00222,A10B,x-atc,DRUGBANK
DB00222,A10,x-atc,DRUGBANK
DB00222,A,x-atc,DRUGBANK
DB00223,D07AC,x-atc,DRUGBANK
DB00223,D07A,x-atc,DRUGBANK
DB00223,D07,x-atc,DRUGBANK
DB00223,D,x-atc,DRUGBANK
DB00224,J05AE,x-atc,DRUGBANK
DB00224,J05A,x-atc,DRUGBANK
DB00224,J05,x-atc,DRUGBANK
DB00224,J,x-atc,DRUGBANK
DB00225,V08CA,x-atc,DRUGBANK
DB00225,V08C,x-atc,DRUGBANK
DB00225,V08,x-atc,DRUGBANK
DB00225,V,x-atc,DRUGBANK
DB00227,C10AA,x-atc,DRUGBANK
DB00227,C10A,x-atc,DRUGBANK
DB00227,C10,x-atc,DRUGBANK
DB00227,C,x-atc,DRUGBANK
DB00228,N01AB,x-atc,DRUGBANK
DB00228,N01A,x-atc,DRUGBANK
DB00228,N01,x-atc,DRUGBANK
DB00228,N,x-atc,DRUGBANK
DB00229,J01DC,x-atc,DRUGBANK
DB00229,J01D,x-atc,DRUGBANK
DB00229,J01,x-atc,DRUGBANK
DB00229,J,x-atc,DRUGBANK
DB00230,N03AX,x-atc,DRUGBANK
DB00230,N03A,x-atc,DRUGBANK
DB00230,N03,x-atc,DRUGBANK
DB00230,N,x-atc,DRUGBANK
DB00231,N05CD,x-atc,DRUGBANK
DB00231,N05C,x-atc,DRUGBANK
DB00231,N05,x-atc,DRUGBANK
DB00231,N,x-atc,DRUGBANK
DB00232,C03AA,x-atc,DRUGBANK
DB00232,C03A,x-atc,DRUGBANK
DB00232,C03,x-atc,DRUGBANK
DB00232,C,x-atc,DRUGBANK
DB00233,J04AA,x-atc,DRUGBANK
DB00233,J04A,x-atc,DRUGBANK
DB00233,J04,x-atc,DRUGBANK
DB00233,J,x-atc,DRUGBANK
DB00234,N06AX,x-atc,DRUGBANK
DB00234,N06A,x-atc,DRUGBANK
DB00234,N06,x-atc,DRUGBANK
DB00234,N,x-atc,DRUGBANK
DB00235,C01CE,x-atc,DRUGBANK
DB00235,C01C,x-atc,DRUGBANK
DB00235,C01,x-atc,DRUGBANK
DB00235,C,x-atc,DRUGBANK
DB00236,L01AX,x-atc,DRUGBANK
DB00236,L01A,x-atc,DRUGBANK
DB00236,L01,x-atc,DRUGBANK
DB00236,L,x-atc,DRUGBANK
DB00238,J05AG,x-atc,DRUGBANK
DB00238,J05A,x-atc,DRUGBANK
DB00238,J05,x-atc,DRUGBANK
DB00238,J,x-atc,DRUGBANK
DB00239,D01AC,x-atc,DRUGBANK
DB00239,D01A,x-atc,DRUGBANK
DB00239,D01,x-atc,DRUGBANK
DB00239,D,x-atc,DRUGBANK
DB00240,D07AB,x-atc,DRUGBANK
DB00240,D07A,x-atc,DRUGBANK
DB00240,D07,x-atc,DRUGBANK
DB00240,D,x-atc,DRUGBANK
DB00241,N05CB,x-atc,DRUGBANK
DB00241,N05C,x-atc,DRUGBANK
DB00241,N05,x-atc,DRUGBANK
DB00241,N,x-atc,DRUGBANK
DB00242,L04AA,x-atc,DRUGBANK
DB00242,L04A,x-atc,DRUGBANK
DB00242,L04,x-atc,DRUGBANK
DB00242,L,x-atc,DRUGBANK
DB00243,C01EB,x-atc,DRUGBANK
DB00243,C01E,x-atc,DRUGBANK
DB00243,C01,x-atc,DRUGBANK
DB00243,C,x-atc,DRUGBANK
DB00244,A07EC,x-atc,DRUGBANK
DB00244,A07E,x-atc,DRUGBANK
DB00244,A07,x-atc,DRUGBANK
DB00244,A,x-atc,DRUGBANK
DB00245,N04AC,x-atc,DRUGBANK
DB00245,N04A,x-atc,DRUGBANK
DB00245,N04,x-atc,DRUGBANK
DB00245,N,x-atc,DRUGBANK
DB00246,N05AE,x-atc,DRUGBANK
DB00246,N05A,x-atc,DRUGBANK
DB00246,N05,x-atc,DRUGBANK
DB00246,N,x-atc,DRUGBANK
DB00247,N02CA,x-atc,DRUGBANK
DB00247,N02C,x-atc,DRUGBANK
DB00247,N02,x-atc,DRUGBANK
DB00247,N,x-atc,DRUGBANK
DB00248,N04BC,x-atc,DRUGBANK
DB00248,N04B,x-atc,DRUGBANK
DB00248,N04,x-atc,DRUGBANK
DB00248,N,x-atc,DRUGBANK
DB00249,J05AB,x-atc,DRUGBANK
DB00249,J05A,x-atc,DRUGBANK
DB00249,J05,x-atc,DRUGBANK
DB00249,J,x-atc,DRUGBANK
DB00250,D10AX,x-atc,DRUGBANK
DB00250,D10A,x-atc,DRUGBANK
DB00250,D10,x-atc,DRUGBANK
DB00250,D,x-atc,DRUGBANK
DB00251,G01AG,x-atc,DRUGBANK
DB00251,G01A,x-atc,DRUGBANK
DB00251,G01,x-atc,DRUGBANK
DB00251,G,x-atc,DRUGBANK
DB00252,N03AB,x-atc,DRUGBANK
DB00252,N03A,x-atc,DRUGBANK
DB00252,N03,x-atc,DRUGBANK
DB00252,N,x-atc,DRUGBANK
DB00253,S01BA,x-atc,DRUGBANK
DB00253,S01B,x-atc,DRUGBANK
DB00253,S01,x-atc,DRUGBANK
DB00253,S,x-atc,DRUGBANK
DB00254,J01AA,x-atc,DRUGBANK
DB00254,J01A,x-atc,DRUGBANK
DB00254,J01,x-atc,DRUGBANK
DB00254,J,x-atc,DRUGBANK
DB00255,L02AA,x-atc,DRUGBANK
DB00255,L02A,x-atc,DRUGBANK
DB00255,L02,x-atc,DRUGBANK
DB00255,L,x-atc,DRUGBANK
DB00256,J01AA,x-atc,DRUGBANK
DB00256,J01A,x-atc,DRUGBANK
DB00256,J01,x-atc,DRUGBANK
DB00256,J,x-atc,DRUGBANK
DB00257,D01AC,x-atc,DRUGBANK
DB00257,D01A,x-atc,DRUGBANK
DB00257,D01,x-atc,DRUGBANK
DB00257,D,x-atc,DRUGBANK
DB00258,V03AE,x-atc,DRUGBANK
DB00258,V03A,x-atc,DRUGBANK
DB00258,V03,x-atc,DRUGBANK
DB00258,V,x-atc,DRUGBANK
DB00259,G01AE,x-atc,DRUGBANK
DB00259,G01A,x-atc,DRUGBANK
DB00259,G01,x-atc,DRUGBANK
DB00259,G,x-atc,DRUGBANK
DB00260,J04AB,x-atc,DRUGBANK
DB00260,J04A,x-atc,DRUGBANK
DB00260,J04,x-atc,DRUGBANK
DB00260,J,x-atc,DRUGBANK
DB00261,L01XX,x-atc,DRUGBANK
DB00261,L01X,x-atc,DRUGBANK
DB00261,L01,x-atc,DRUGBANK
DB00261,L,x-atc,DRUGBANK
DB00262,L01AD,x-atc,DRUGBANK
DB00262,L01A,x-atc,DRUGBANK
DB00262,L01,x-atc,DRUGBANK
DB00262,L,x-atc,DRUGBANK
DB00263,J01EB,x-atc,DRUGBANK
DB00263,J01E,x-atc,DRUGBANK
DB00263,J01,x-atc,DRUGBANK
DB00263,J,x-atc,DRUGBANK
DB00264,C07FB,x-atc,DRUGBANK
DB00264,C07F,x-atc,DRUGBANK
DB00264,C07,x-atc,DRUGBANK
DB00264,C,x-atc,DRUGBANK
DB00266,B01AA,x-atc,DRUGBANK
DB00266,B01A,x-atc,DRUGBANK
DB00266,B01,x-atc,DRUGBANK
DB00266,B,x-atc,DRUGBANK
DB00267,J01DD,x-atc,DRUGBANK
DB00267,J01D,x-atc,DRUGBANK
DB00267,J01,x-atc,DRUGBANK
DB00267,J,x-atc,DRUGBANK
DB00268,N04BC,x-atc,DRUGBANK
DB00268,N04B,x-atc,DRUGBANK
DB00268,N04,x-atc,DRUGBANK
DB00268,N,x-atc,DRUGBANK
DB00269,G03CA,x-atc,DRUGBANK
DB00269,G03C,x-atc,DRUGBANK
DB00269,G03,x-atc,DRUGBANK
DB00269,G,x-atc,DRUGBANK
DB00270,C08CA,x-atc,DRUGBANK
DB00270,C08C,x-atc,DRUGBANK
DB00270,C08,x-atc,DRUGBANK
DB00270,C,x-atc,DRUGBANK
DB00271,V08AA,x-atc,DRUGBANK
DB00271,V08A,x-atc,DRUGBANK
DB00271,V08,x-atc,DRUGBANK
DB00271,V,x-atc,DRUGBANK
DB00272,V04CG,x-atc,DRUGBANK
DB00272,V04C,x-atc,DRUGBANK
DB00272,V04,x-atc,DRUGBANK
DB00272,V,x-atc,DRUGBANK
DB00273,N03AX,x-atc,DRUGBANK
DB00273,N03A,x-atc,DRUGBANK
DB00273,N03,x-atc,DRUGBANK
DB00273,N,x-atc,DRUGBANK
DB00274,J01DC,x-atc,DRUGBANK
DB00274,J01D,x-atc,DRUGBANK
DB00274,J01,x-atc,DRUGBANK
DB00274,J,x-atc,DRUGBANK
DB00275,C09DA,x-atc,DRUGBANK
DB00275,C09D,x-atc,DRUGBANK
DB00275,C09,x-atc,DRUGBANK
DB00275,C,x-atc,DRUGBANK
DB00276,L01XX,x-atc,DRUGBANK
DB00276,L01X,x-atc,DRUGBANK
DB00276,L01,x-atc,DRUGBANK
DB00276,L,x-atc,DRUGBANK
DB00277,R03DA,x-atc,DRUGBANK
DB00277,R03D,x-atc,DRUGBANK
DB00277,R03,x-atc,DRUGBANK
DB00277,R,x-atc,DRUGBANK
DB00278,B01AE,x-atc,DRUGBANK
